name,ver,size,deps,reqBy,reason,installed,desc
"xorg-xrdb","1.2.2-2",41872,"libx11 libxmu glibc","","1","1767359982","X server resource database utility"
"libxi","1.8.2-1",506416,"libxext libxfixes libx11 glibc xorgproto","","1","1760793797","X11 Input extension library"
"util-linux-libs","2.41.3-2",1382076,"glibc sqlite","","1","1768133965","util-linux runtime libraries"
"aws-crt-cpp","0.37.2-1",1431832,"aws-c-auth aws-c-cal aws-c-common aws-c-event-stream aws-c-http aws-c-io aws-c-mqtt aws-c-s3 aws-c-sdkutils aws-checksums gcc-libs glibc","","1","1771691676","C++ wrapper around the aws-c-* libraries. Provides Cross-Platform Transport Protocols and SSL/TLS implementations for C++."
"rust-analyzer","20260302-1",31625415,"gcc-libs rust-src","","","1772802695","Rust compiler front-end for IDEs"
"ghostty-terminfo","1.2.3-3",3842,"","","1","1771691679","Terminfo for ghostty"
"compiler-rt","21.1.8-2",48347411,"glibc libgcc libstdc++","","1","1772802694","Compiler runtime libraries for clang"
"baloo","6.23.0-1",2564521,"gcc-libs glibc kconfig kcoreaddons kcrash kdbusaddons kfilemetadata ki18n kidletime kio lmdb qt6-base solid","","1","1771691678","A framework for searching and managing metadata"
"iptables","1:1.8.11-2",2468848,"libnftnl libpcap libnfnetlink libnetfilter_conntrack bash","","1","1760765881","Linux kernel packet control tool (using legacy interface)"
"abseil-cpp","20250814.1-1",6863073,"gcc-libs glibc gtest","","1","1760794933","Collection of C++ library code designed to augment the C++ standard library"
"karchive","6.23.0-1",846362,"bzip2 gcc-libs glibc openssl qt6-base xz zlib zstd","","1","1771691677","Qt addon providing access to numerous types of archives"
